staSeq,locationName,locationDescription,locationType,ylat,xlong,stateCd,munName,subBasin
14711,Transylvania Brook,25 meters DS Whale Pass,River/Stream,41.484262,-73.258547,CT,SOUTHBURY,6806
18468,Joe Clark Brook,Upstream Cider Mill/Avery Hill Rd,River/Stream,41.484687,-72.0413,CT,LEDYARD,3003
19070,Pheneys Brook,US of Old Colchester Rd,River/Stream,41.484787,-72.204264,CT,MONTVILLE,3004
19654,Yawbucs Brook,Off Wyassup Lake Rd on Naraganssett trail,River/Stream,41.484807,-71.881731,CT,NORTH STONINGTON,1004
19005,Connecticut River,At Haddam Meadows State Park,River/Stream,41.484848,-72.50888,CT,HADDAM,4000
19127,Candlewood Hill Brook,DS of CandleWoodHill Road #316,River/Stream,41.484871,-72.584245,CT,HADDAM,4014
19625,Spruce Brook,US of Spruce Brook Rd,River/Stream,41.484883,-73.263943,CT,SOUTHBURY,6806
19121,Bullet Hill Brook,Adjacent Old Waterbury Road  above Church Road intersection,River/Stream,41.48494,-73.19425,CT,SOUTHBURY,6800
16530,Broad Brook,East of Wallingford Rd,River/Stream,41.4853,-72.8711,CT,CHESHIRE,5204
14359,North Farms Reservoir,upstream Route 68,Reservoir,41.4853,-72.7813,CT,WALLINGFORD,5207
15582,Hop Brook,at Barkwood Hill Road and Hop Brook Road,River/Stream,41.4855,-73.3856,CT,BROOKFIELD,6000
17045,Shewville Brook,DS of mathewson mill rd,River/Stream,41.4858,-72.0055,CT,PRESTON,3002
18583,Kriegers Brook,Upstream Route 154,River/Stream,41.485975,-72.52175,CT,HADDAM,4000
18542,Lake Lillinonah  Unnamed Tributary to,Northeast of Hearthstone Drive,River/Stream,41.486009,-73.37152,CT,BROOKFIELD,6000
15224,Long Meadow Pond Brook,upstream Route 63,River/Stream,41.4861,-73.0579,CT,NAUGATUCK,6917
19275,Wyassup Brook,Up of Wyassup Rd,River/Stream,41.486137,-71.869125,CT,NORTH STONINGTON,1001
20284,Pomperaug River  Unnamed Tributary To,US from Pomperaug River to Golf course Bridge,River/Stream Perennial,41.486241,-73.221975,CT,SOUTHBURY,6800
20489,East Branch Eightmile River,Upstream Morgan Rd near old dam location,River/Stream,41.48626,-72.2824,CT,SALEM,4802
19280,Willow Brook,DS of Higgins Road,River/Stream,41.48633,-72.919027,CT,CHESHIRE,5301
15578,Long Meadow Pond Brook  Unknown Pipe to,at end of pipe entering long meadow pond brook at elm street,Storm Sewer,41.4864,-73.056,CT,NAUGATUCK,6917
14792,Long Meadow Pond Brook,upstream Elm Street,River/Stream,41.4864,-73.0556,CT,NAUGATUCK,6917
15987,Quinnipiac River,behind #380 main street (route 150),River/Stream,41.4869,-72.8192,CT,WALLINGFORD,5200
16149,Oxoboxo Lake,at deepest part of lake,Reservoir,41.487,-72.197,CT,MONTVILLE,3004
16982,Poquetanuck Brook,US of head of tide,River/Stream,41.4872,-72.0425,CT,PRESTON,3003
19214,Harris Brook,0.25 mi upstream Music Vale Rd,River/Stream,41.487386,-72.27044,CT,SALEM,4801
17186,Wewaka Brook,Parallel to Rte 133 1.4 miles DS Wewaka Rd,River/Stream,41.4878,-73.3508,CT,BRIDGEWATER,6000
20046,Spruce Brook,Downstream of Spruce Brook Road  near New Road,River/Stream,41.487886,-73.268601,CT,SOUTHBURY,6806
15539,Long Meadow Pond Brook,upstream Rubber Ave bridge,River/Stream,41.4883,-73.0649,CT,NAUGATUCK,6917
14772,Transylvania Brook,at Route 172 crossing,River/Stream,41.4884,-73.2598,CT,SOUTHBURY,6806
19325,Higganum Reservoir,center of lake,Reservoir,41.489,-72.56,CT,HADDAM,4014
16297,Stony Brook,Adjacent to Tramart Drive upstrem Fitch Hill Rd (upstream trib to stony draining,River/Stream,41.489,-72.1318,CT,MONTVILLE,3005
15721,Long Meadow Pond Brook,Downstream side first bridge crossing Long Meadow Pond Brook  on B,River/Stream,41.4892,-73.072,CT,NAUGATUCK,6917
20011,Lake Lillinonah  Tributary to,US from Lake,River/Stream,41.48929,-73.366641,CT,BRIDGEWATER,6000
14690,Thames River,at Buoy 31 Trading Cove outlet,Estuary,41.4894,-72.0806,CT,MONTVILLE,3000
19330,Lake of Isles,at deepest part of lake,Lake,41.48946,-71.94853,CT,NORTH STONINGTON,3003
17046,Poquetanuck Brook,above pond in lincoln park,River/Stream,41.4897,-72.0297,CT,PRESTON,3003
14764,Naugatuck River  pipe at Maple Street West,in bridge abutment West side Maple Street Bridge,Storm Sewer,41.4898,-73.0527,CT,NAUGATUCK,6900
14335,Naugatuck River,300 m upstream Maple Street,River/Stream,41.4899,-73.0527,CT,NAUGATUCK,6900
19947,Eightmile Brook  No Name Tributary to,Upstream Benson Road just before junction with Donovan Road,River/Stream,41.4902,-73.1446,CT,MIDDLEBURY,6023
18412,Hewitt Brook (Poquetanuck Brook/Hall Brook),Rose Hill WMA on Lincoln Park Rd  Upstream Halville Pond,River/Stream,41.49029,-72.02925,CT,PRESTON,3003
18414,Limekiln Brook,Downstream Quarry Road,River/Stream,41.490517,-73.4174,CT,BROOKFIELD,6600
18149,Bashan Lake,BL-1: Deepest Point In Lake,Lake,41.490909,-72.411045,CT,EAST HADDAM,4710
14422,Quinnipiac River,upstream Route 68,River/Stream,41.4912,-72.8174,CT,WALLINGFORD,5200
15125,Meetinghouse Brook,100 meters US confluence w/Quinipiac River,River/Stream,41.4913,-72.816,CT,WALLINGFORD,5200
15640,Wyassup Lake,at deepest part of lake,Lake,41.4913,-71.8726,CT,NORTH STONINGTON,1001
19137,Pomperaug River,DS of Heritage Village Foot Bridge,River/Stream,41.49167,-73.222348,CT,SOUTHBURY,6800
15026,Quinnipiac River,upstream RTE 150,River/Stream,41.4917,-72.8183,CT,WALLINGFORD,5200
16824,Main Brook,DS of watson rd above gas line crossing,River/Stream,41.491831,-71.969321,CT,PRESTON,3002
20094,Hallville Pond,Adjacent to Route 2A,Lake,41.492107,-72.033348,CT,PRESTON,3003
19578,Quinnipiac River,Old Overflow channel above Rte 150. not no maps,River/Stream,41.492253,-72.817774,CT,WALLINGFORD,5200
15269,Long Meadow Pond Brook,Adjacent to school parking lot (Upstream of armory bridge  parallel to Rubber Ave),River/Stream,41.4925,-73.0756,CT,NAUGATUCK,6917
16738,Hewitt Brook,US of rte 2,River/Stream,41.4925,-72.0122,CT,PRESTON,3003
18599,Swain Johnson Brook,Upstream Route 154,River/Stream,41.492522,-72.53356,CT,HADDAM,4000
20280,Pomperaug River  Unnamed Tributary To,Emergency access Rd from Settlers Park,River/Stream Intermittent,41.492581,-73.219573,CT,SOUTHBURY,6800
16277,Stony Brook,1000 feet downstream Stony Brook Reservoir dam,River/Stream,41.4929,-72.1441,CT,MONTVILLE,3005
19300,Avery Pond,at deepest part of lake,Lake,41.493,-71.979,CT,PRESTON,3002
17921,Candlewood Hill Brook,SCOVIL RD,River/Stream,41.49314,-72.56977,CT,HADDAM,4014
17988,Dykas Brook,UPSTREAM OF RTE 149,River/Stream,41.49318,-72.45726,CT,EAST HAMPTON,4710
19518,Gerow Brook,at Quaker Road,River/Stream,41.4932,-73.53,CT,NEW FAIRFIELD,8103
19417,Halsey Brook,above Crowley Brook confluence,River/Stream,41.493397,-72.049457,CT,LEDYARD,3003
18824,Myers Brook,Above Route 2,River/Stream,41.49348,-72.023765,CT,PRESTON,3003
20013,Lake Lillinonah  Tributary,US from Lake ,River/Stream,41.493854,-73.330502,CT,BRIDGEWATER,6000
15976,Long Meadow Pond Brook,1st riffle upstream of dam across from #883 Rubber ave,River/Stream,41.494,-73.0853,CT,NAUGATUCK,6917
16132,Meetinghouse Brook,DS Route 5,River/Stream,41.4941,-72.8096,CT,WALLINGFORD,5200
17794,Main Brook,UPSTREAM OF LAKE OF ISLES RD,River/Stream,41.49497,-71.96679,CT,PRESTON,3002
19365,Stony Brook Reservoir,center of lake,Lake,41.495,-72.152,CT,MONTVILLE,3005
18729,Harris Brook,adjacent to Round HIll Rd.,River/Stream,41.495015,-72.269546,CT,SALEM,4801
16688,Gerow Brook,100 M DS of Quaker Rd,River/Stream,41.4953,-73.5303,CT,NEW FAIRFIELD,8103
14544,Coginchaug River,upstream Route 147,River/Stream,41.4954,-72.7045,CT,MIDDLEFIELD,4607
18417,Meetinghouse Brook,Upstream Route 5 (at BJs Wholesale Club),River/Stream,41.495456,-72.80834,CT,WALLINGFORD,5200
17125,Transylvania Brook,DS of Upper Rte ## at Southbury Training School,River/Stream,41.4956,-73.2575,CT,SOUTHBURY,6806
19952,Eightmile Brook  No Name Tributary to,Off Route 188 at deep curve before junctio with 84 and after Pomperaug High School,River/Stream Intermittent,41.4957,-73.1628,CT,SOUTHBURY,6023
19948,Eightmile Brook  No Name Tributary to,Off Benson Road after Preston Hill Road but before junction with Donovan Road,River/Stream,41.4958,-73.1473,CT,SOUTHBURY,6023
16737,Hetchel Swamp Brook,DS of wyassup hill rd,River/Stream,41.4958,-71.8494,CT,NORTH STONINGTON,1001
19018,Long Meadow Pond Brook,200m Upstream Rubber Ave,River/Stream,41.495843,-73.098431,CT,NAUGATUCK,6917
15689,Moodus River,at North Moodus Road,River/Stream,41.4959,-72.4599,CT,EAST HADDAM,4710
19423,Harris Brook,Below Zemko Pond,River/Stream,41.49605,-72.254902,CT,SALEM,4802
14416,Connecticut River,upstream of Island Haddam Meadows State Park Adjacent to Rock Landing,River/Stream,41.4961,-72.5259,CT,HADDAM,4000
18431,Wewaka Brook,DS Wewaka Brook Rd (near Rt 133/Main Street S),River/Stream,41.496188,-73.35148,CT,BRIDGEWATER,6000
18674,Eightmile River,Haywardville Road,River/Stream,41.496418,-72.346496,CT,EAST HADDAM,4800
17991,Shady Brook,along Rte 149 just up from Johnsonville Rd.,River/Stream,41.49665,-72.45459,CT,EAST HAMPTON,4710
14541,Lyman Meadows Brook  tributary to,at Route 147 in front of store,River/Stream,41.4968,-72.7085,CT,MIDDLEFIELD,4607
14942,Connecticut River,in Haddam,River/Stream,41.497,-72.53,CT,HADDAM,4000
19907,Willow Brook  No Name Tributary to,DS Bridge Crossing on Cornwall Ave at end of Linear Park,River/Stream,41.497338,-72.914177,CT,CHESHIRE,5301
17793,Trading Cove Brook,at Route 32,River/Stream,41.49736,-72.10197,CT,MONTVILLE,3001
17796,Crowley Brook,ABOVE POQUETANUCK BK,River/Stream,41.49745,-72.03829,CT,PRESTON,3003
19249,Lake Hayward Brook,DS of Salem RD,River/Stream,41.497476,-72.325267,CT,SALEM,4802
16505,Bible Rock Brook,Off Brainard Hill Rd E of Jct with Oxbow Rd,River/Stream,41.4975,-72.6064,CT,HADDAM,4014
18693,Lake Hayward Brook,US Salem Rd.,River/Stream,41.497758,-72.325294,CT,EAST HADDAM,4800
15200,Spruce Glen Brook,US Yale Ave,River/Stream,41.4978,-72.8007,CT,WALLINGFORD,5200
16122,Early Brook,at Haywardville Road (East Haddam Fish & Game Club Property),River/Stream,41.4978,-72.3435,CT,EAST HADDAM,4800
18660,Lake Hayward Outflow,at the outflow of the lake,River/Stream,41.498,-72.325,CT,COLCHESTER,4800
17433,Trading Cove Brook,above New London Turnpike,River/Stream,41.498,-72.1024,CT,MONTVILLE,3001
14732,Poquetanuck Brook (Hewitt Brook),upstream Schoolhouse Rd.,River/Stream,41.4981,-72.0365,CT,PRESTON,3003
20173,Trading Cove Brook,At fishway just above mouth,River/Stream,41.498166,-72.097374,CT,MONTVILLE,3001
20277,Pomperaug River  Unnamed Tributary To,Culvert under Winship Rd,River/Stream Intermittent,41.4982,-73.2257,CT,SOUTHBURY,6800
14543,Lyman Meadows Brook,upstream Route 147,River/Stream,41.4982,-72.7135,CT,MIDDLEFIELD,4607
20494,Early Brook,Upstream Haywardville Rd. crossing (near Salem Rd. fork),River/Stream,41.4982,-72.3434,CT,EAST HADDAM,4800
18815,Geers Brook,below Rte 2,River/Stream,41.498569,-72.032091,CT,PRESTON,3003
20012,Lake Lillinonah  Tributary to,US of Lake  DS of Roe Pond,River/Stream,41.498652,-73.320882,CT,SOUTHBURY,6000
16026,Quaker Brook,upstream Haviland Hollow road crossing,River/Stream,41.4987,-73.5338,NY,PATTERSON  NY,8101
14248,Hop Brook,at RR bridge Naug Glass,River/Stream,41.4987,-73.0537,CT,NAUGATUCK,6916
19281,Willow Brook,Ds of Cornwall rd,River/Stream,41.49879,-72.914309,CT,CHESHIRE,5301
19126,Higganum Creek,Ds of Dublin Hill Rd,River/Stream,41.499096,-72.555982,CT,HADDAM,4014
19714,Little Brook,DS of rte 85,River/Stream,41.499244,-72.283129,CT,SALEM,4802
20393,Little Brook,Upstream Rte. 85,River/Stream,41.499307,-72.282681,CT,SALEM,4802
19712,Lyman Meadows Brook,Orchard Ln Road Crossing,River/Stream,41.499463,-72.72038,CT,MIDDLEFIELD,4607
15084,Hop Brook  Unknown Pipe to,at end of pipe upstream of Rte 68 and Rte 63 intersection,Storm Sewer,41.4995,-73.055,CT,NAUGATUCK,6916
20686,Cold Spring Brook,Between the confluence with Fulling Mill Brook and Wooster Street,River/Stream,41.499552,-73.042079,CT,Naugatuck,6915
14793,Hop Brook,upstream route 68,River/Stream,41.4996,-73.0552,CT,NAUGATUCK,6916
15196,Quinnipiac River,upstream Oak Street,River/Stream,41.4997,-72.8184,CT,WALLINGFORD,5200
20252,Shady Brook,Downstream William F. Palmer Road,River/Stream,41.499963,-72.444,CT,EAST HADDAM,4710
15106,Eightmile Brook,Behind HS,River/Stream,41.5,-73.1592,CT,SOUTHBURY,6023
14332,Naugatuck River,adjacent North end of Linden Park,River/Stream,41.5002,-73.0503,CT,NAUGATUCK,6900
17456,Bradley Brook,at South Street near Bridle Trail,River/Stream,41.5005,-73.1078,CT,MIDDLEBURY,6917
19715,Little Brook,US of Rattlesnake Ledge Road,River/Stream,41.500646,-72.282274,CT,SALEM,4802
20651,Quaker Brook ,Within the Great Hollow Nature Preserve & Ecological Research Center  at the green trail pedestrian bridge crossing,River/Stream,41.500653,-73.532704,NY,PATTERSON  NY,8101
19843,Witch Meadow Brook,Upstream of impoundment at 130 Witch Meadow Road,River/Stream,41.50066,-72.29554,CT,SALEM,4802
14542,Coginchaug River,downstream Miller Road,River/Stream,41.5008,-72.7041,CT,MIDDLEFIELD,4607
15162,Pomperaug River,100 meters US Route 67 in park,River/Stream,41.501,-73.219,CT,SOUTHBURY,6800
18270,Wewaka Brook,at 2nd Wewaka Brook road crossing up from Rt 133 just above Beach Hill Rd,River/Stream,41.50103,-73.3497,CT,BRIDGEWATER,6000
16192,Trading Cove Brook,upstream Route 395 at end of Apartment complex Driveway,River/Stream,41.5012,-72.1161,CT,MONTVILLE,3001
19716,Witch Meadow Brook Trib,DS of Witch Meadow Rd,River/Stream,41.501201,-72.308347,CT,SALEM,4802
20057,Gardner Lake,GRD-OUT1 outflow into left side of swimming area,Land Runoff,41.501305,-72.225266,CT,SALEM,3906
16354,Gardner Lake,GRD-1 left side of beach area,Lake,41.501339,-72.225086,CT,SALEM,3906
20058,Gardner Lake,GRD-OUT2 outflow into right side of swimming area,Land Runoff,41.501442,-72.22433,CT,SALEM,3906
16355,Gardner Lake,GRD-2 right side of beach area,Lake,41.501538,-72.224356,CT,SALEM,3906
18718,Gardner Lake,GRD-M Middle of bathing beach,Lake,41.501567,-72.224735,CT,SALEM,3906
14333,Naugatuck River,at footbridge,River/Stream,41.5017,-73.0483,CT,NAUGATUCK,6900
19949,Eightmile Brook  No Name Tributary to,Downstream Brookside Drive in Brookside at Middlebury Housing Complex,River/Stream Intermittent,41.5019,-73.1437,CT,MIDDLEBURY,6023
14209,Fulling Mill Brook,upstream North Main Street,River/Stream,41.5021,-73.0471,CT,NAUGATUCK,6915
14731,Trading Cove Brook,upstream Montville Rd.,River/Stream,41.5021,-72.1235,CT,NORWICH,3001
20286,Pomperaug River unnamed trib.,US from confluence with Pomperaug River,River/Stream Intermittent,41.50216,-73.21826,CT,SOUTHBURY,6800
15225,Fulling Mill Brook,upstream Rte 68 @ 360 Prospect Rd,River/Stream,41.5022,-73.0387,CT,NAUGATUCK,6915
19975,Stiles Brook,135m Downstream Hidden Brook Drive Culvert,River/Stream,41.502206,-73.205806,CT,SOUTHBURY,6800
14786,Fulling Mill Brook,at pool just prior to entering Naugatuck River,River/Stream,41.5023,-73.0475,CT,NAUGATUCK,6915
15483,Meriden Landfill,at final effluent,Landfill,41.5026,-72.8232,CT,MERIDEN,5200
20261,Pomperaug River  Unnamed Tributary To,US Pomperaug  across from Bennett Dog park,River/Stream Perennial,41.5027,-73.2187,CT,SOUTHBURY,6800
14787,Naugatuck River,under route 68 overpass,River/Stream,41.5028,-73.0477,CT,NAUGATUCK,6900
16681,Fulling Mill Brook,Parallel to Rte 68,River/Stream,41.5033,-73.0355,CT,NAUGATUCK,6915
17878,Miller Brook,BELOW POND NORTHWEST RD,River/Stream,41.50336,-71.91346,CT,NORTH STONINGTON,3716
15873,Moodus Reservoir  Upper,at deepest part of lake,Lake,41.5036,-72.4071,CT,EAST HADDAM,4710
15579,Hitchcock Mill Brook,at Sunny Valley Preserve Bridge near camp silverman,River/Stream,41.503614,-73.374487,CT,BRIDGEWATER,6000
17920,Bible Rock Brook,POOL DOWNSTREAM OF BRIDGE ON BOULDER DELL RD,River/Stream,41.50387,-72.57289,CT,HADDAM,4014
17879,Miller Brook  tributary to,Below Miller Rd,River/Stream,41.50396,-71.91045,CT,NORTH STONINGTON,3716
20285,Trib to Pomperaug River,US confluence with Pomperaug,River/Stream Intermittent,41.50399,-73.2157,CT,SOUTHBURY,6800
18160,Lake Lillinonah,North of the Steel Bridge (Rt 133),Lake,41.503997,-73.382148,CT,BROOKFIELD,6000
18420,Moodus River,Off Red Mill Lane  DS of old bridge,River/Stream,41.504252,-72.44934,CT,EAST HADDAM,4710
17992,Big Brook,UPSTREAM OF RTE 85,River/Stream,41.50446,-72.28783,CT,SALEM,4802
16072,Trading Cove Brook,at pole # 654 DS Noble Hill Road adjacent to Route 82 and Leffingwell Road,River/Stream,41.5046,-72.138,CT,MONTVILLE,3001
18609,Mixville Brook,Downstream Chatfield Road,River/Stream,41.504681,-72.94722,CT,PROSPECT,5202
14210,Fulling Mill Brook,downstream Maple Hill Road,River/Stream,41.5048,-73.0232,CT,NAUGATUCK,6915
14211,Fulling Mill Brook,upstream Maple Hill Road,River/Stream,41.5048,-73.0222,CT,NAUGATUCK,6915
19950,Long Brook,End Riverside Road (dirt path on private property),River/Stream,41.5049,-73.1307,CT,MIDDLEBURY,6917
15540,Hop Brook,upstream Porter Ave Bridge,River/Stream,41.5049,-73.0584,CT,NAUGATUCK,6916
18592,Moodus River  Unnamed tributary to,Upstream Route 151,River/Stream,41.50502,-72.46905,CT,EAST HADDAM,4710
20650,Quaker Brook ,Within the Great Hollow Nature Preserve & Ecological Research Center  upstream pedestrian bridge crossing,River/Stream,41.505088,-73.530545,CT,New Fairfield,8101
14331,Naugatuck River,upstream Route 68,River/Stream,41.5051,-73.0469,CT,NAUGATUCK,6900
18610,Mixville Brook,Upstream Chatfield Road,River/Stream,41.505176,-72.94704,CT,PROSPECT,5202
17990,Moodus River,at end of Redmill lane near north moodus road  upstream large stone culvert,River/Stream,41.50547,-72.44839,CT,EAST HADDAM,4710
14212,Fulling Mill Brook,across Spring Lake Road (Union City Road) & Route 68,River/Stream,41.5056,-73.0315,CT,NAUGATUCK,6915
15517,Pomperaug River,upstream Route 67 in fish and game club O&G quarry propert,River/Stream,41.5063,-73.2133,CT,SOUTHBURY,6800
20146,Goldmine Brook,30m upstream of Route 82,River/Stream,41.506644,-72.13297,CT,NORWICH,3001
17133,Transylvania Brook  tributary to,Parallel to Flag Swamp Rd 200 M US trib,River/Stream,41.5069,-73.27,CT,SOUTHBURY,6806
19305,Broad Brook Reservoir,center of lake,Reservoir,41.507,-72.859,CT,MERIDEN,5204
16668,Ford Brook,at cul de sac at end of great plain rd,River/Stream,41.5072,-72.1114,CT,NORWICH,3001
16008,Gardner Lake,GL-1: 300 ft north Minnie Island State Park (deep hole),Lake,41.5075,-72.222,CT,MONTVILLE,3906
19431,Hitchcock Mill Brook,first bridge Benson Rd,River/Stream,41.507516,-73.372879,CT,BRIDGEWATER,6000
20240,Turrill Brook,Upstream Lower River Road,River/Stream,41.507722,-73.31105,CT,ROXBURY,6700
14396,Pine Brook,at old bridge Pine Brook Road,River/Stream,41.5079,-72.4952,CT,HADDAM,4709
19296,Andersons Pond,center of lake,Lake,41.508,-71.896,CT,NORTH STONINGTON,3605
17795,Main Brook  tributary to,FROM 50 M BELOW HOLLOWELL RD US TO ROAD,River/Stream,41.50831,-71.97319,CT,PRESTON,3002
19012,Stiles Brook,between mouth and Rt 6,River/Stream,41.508456,-73.210897,CT,SOUTHBURY,6800
18871,Moodus River,25m US of Gristmill Rd Crossing,River/Stream,41.50859,-72.44826,CT,EAST HADDAM,4710
18819,Lake Hayward Brook,Immediately below dam,River/Stream,41.508721,-72.325503,CT,EAST HADDAM,4800
19636,Mixville Brook Trib,off Rte 68  below mixville ponds,River/Stream,41.508758,-72.945152,CT,PROSPECT,5202
19304,Billings Lake,deep hole,Lake,41.50885,-71.87383,CT,NORTH STONINGTON,3605
19067,Goldmine Brook,Upstream of Old Salem Road,River/Stream,41.508878,-72.132901,CT,NORWICH,3001
19816,Early Brook,At Ackley Cemetery Road,River/Stream,41.509464,-72.34695,CT,EAST HADDAM,4800
19951,Long Brook  No Name Tributary to,Downstream Long Meadow Road,River/Stream,41.5098,-73.1379,CT,MIDDLEBURY,6917
14540,Ellen Doyle Brook,downstream Route 147,River/Stream,41.5099,-72.7152,CT,MIDDLEFIELD,4607
16914,Squantz Pond  tributary to,In Squantz Pond State Park,River/Stream,41.51,-73.4786,CT,NEW FAIRFIELD,6400
14572,Coginchaug River,at Strickland Road,River/Stream,41.5101,-72.7088,CT,MIDDLEFIELD,4607
18255,Transylvania Brook,RT 67 Road Crossing,River/Stream,41.5102,-73.24912,CT,SOUTHBURY,6806
18063,Turrill Brook,UPSTREAM FROM LAKE LILLINONAH,River/Stream,41.51057,-73.31547,CT,ROXBURY,6700
18768,Main Brook,DS NW Corner Road,River/Stream,41.510763,-71.947821,CT,NORTH STONINGTON,3002
18652,Big Brook,At Sullivan Road,River/Stream,41.511,-72.289,CT,SALEM,4802
16860,Moodus River,Off Rte 151 at old factory,River/Stream,41.5111,-72.4375,CT,EAST HADDAM,4710
16475,Ashwillet Brook,20 m DS of rte 201,River/Stream,41.5111,-71.8914,CT,NORTH STONINGTON,3605
17285,Ellen Doyle Brook,at Strickland Road,River/Stream,41.5112,-72.7114,CT,MIDDLEFIELD,4607
18864,Quinnipiac River,between meriden landfill and St. Laurents Cemetary,River/Stream,41.51137,-72.82328,CT,MERIDEN,5200
15870,Squantz Pond,at deepest part of lake,Lake,41.5115,-73.4728,CT,NEW FAIRFIELD,6400
18058,Camp Brook  tributary to,TRIB TO CAMP BROOK BELOW BARRY ROAD,River/Stream,41.51156,-73.32392,CT,ROXBURY,6700
20281,Pomperaug River  Unnamed Tributary To,Alongside Woodbury PI,River/Stream Intermittent,41.511625,-73.205974,CT,WOODBURY,6800
17037,Shattuck Brook,US Nichols Rd,River/Stream,41.5117,-73.0839,CT,NAUGATUCK,6916
14689,Thames River,south Norwich Harbor at no wake buoy,Estuary,41.5117,-72.08,CT,NORWICH,3000
18593,Moodus River  Unnamed Tributary to,Upstream Clark Gates Road,River/Stream,41.511933,-72.44905,CT,EAST HADDAM,4710
20520,Lake Beseck,@ dam along shoreline,Lake,41.511983,-72.727258,CT,MIDDLEFIELD,4607
15943,Squantz Pond,SQPD-1 Left of Lifeguard Chair(s),Lake,41.512,-73.4765,CT,NEW FAIRFIELD,6400
19316,Dooley Pond,center of lake,Lake,41.512,-72.668,CT,MIDDLEFIELD,4013
19531,Main Brook Trib,NW Corner Rd,River/Stream Intermittent,41.512015,-71.952617,CT,NORTH STONINGTON,3002
18057,Camp Brook,BELOW BARRY ROAD TRIB,River/Stream,41.51217,-73.32418,CT,ROXBURY,6700
18717,Squantz Pond,SQPD-M Middle of bathing beach,Lake,41.512172,-73.476168,CT,NEW FAIRFIELD,6400
15944,Squantz Pond,SQPD-2 Right of Lifeguard Chair(s),Lake,41.5122,-73.476,CT,NEW FAIRFIELD,6400
19064,Tadma Brook,Downstream of South Road,River/Stream,41.512293,-72.164157,CT,BOZRAH,3001
15705,Lake Beseck,deep hole near dam,Lake,41.5123,-72.7284,CT,MIDDLEFIELD,4607
14740,Quaker Brook,Approx. 1/2 mile down Rte. 37 past Great Hollow Nature Preserve & Ecological Research Center,River/Stream,41.512349,-73.52695,CT,NEW FAIRFIELD,8101
14571,Ellen Doyle Brook,at Powder Hill Road,River/Stream,41.5126,-72.7246,CT,MIDDLEFIELD,4607
14714,Naugatuck River,second pull off downstream bristol street bridge,River/Stream,41.513,-73.0529,CT,NAUGATUCK,6900
19978,Eightmile Brook  No Name Tributary to,Upstream Judd Road Crossing,River/Stream,41.513175,-73.158293,CT,SOUTHBURY,6023
20063,Dark Hollow Brook,600 m upstream of Coal Pit Road,River/Stream,41.51332,-71.86226,CT,NORTH STONINGTON,3604
18643,Meetinghouse Brook,Adjacent South Curtis Street above Spruce Glen Brook,River/Stream,41.5135,-72.7999,CT,MERIDEN,5200
18506,Hop Brook,Adj Route 63 (downstream Hop Brook Lake outlet),River/Stream,41.513622,-73.06555,CT,NAUGATUCK,6916
20246,Witch Meadow Brook,Behind #643 Hartford Road,River/Stream,41.51375,-72.29786,CT,SALEM,4802
16853,Miller Brook,US of YMCA footbridge off button rd,River/Stream,41.5139,-71.9225,CT,NORTH STONINGTON,3716
14715,Naugatuck River,first pull off downstream bristol street bridge,River/Stream,41.514,-73.0539,CT,NAUGATUCK,6900
18575,Ford Brook,Upstream Route 82; Adjacent Staples parking lot,River/Stream,41.514059,-72.1073,CT,NORWICH,3001
18060,Shepaug River,at Minor Bridge Road Roxbury Falls Park,River/Stream,41.51419,-73.31554,CT,ROXBURY,6700
20231,Transylvania Brook  NNT to,Along East Flag Swamp Road,River/Stream Intermittent,41.51419,-73.276472,CT,ROXBURY,6806
17134,Transylvania Brook  tributary to,Parallel to Rte 67 US town line,River/Stream,41.5142,-73.2553,CT,ROXBURY,6806
20052,Moodus Reservoir  Lower,at deepest part of lake,Lake,41.51449,-72.42336,CT,EAST HADDAM,4710
17989,Molly Brook,below olmstead rd,River/Stream,41.51472,-72.3975,CT,EAST HADDAM,4710
20508,Pine Brook,300 ft downstream Pine Brook Rd  within Haddam Land Trust Preserve,River/Stream,41.514771,-72.498932,CT,HADDAM,4709
15740,Evansville Water Treatment,south pit Catchbasin behind building,Wetland Undifferentiated,41.5148,-72.8297,CT,MERIDEN,5200
19404,Gardner Brook,100 m upstream of I-395,River/Stream,41.514843,-72.12132,CT,NORWICH,3001
19043,Pine Brook  Unnamed tributary to,Downstream of Wickham Rd,River/Stream,41.51486,-72.38311,CT,EAST HADDAM,4710
15191,Honeypot Brook,downstream Cedar Lane,River/Stream,41.515,-72.891,CT,CHESHIRE,5200
15739,Evansville Water Treatment,North pit Pipe behind building,Wetland Undifferentiated,41.5151,-72.8297,CT,MERIDEN,5200
20620,Lake Beseck,@ private dock (195 Baileyville Rd),Lake,41.515164,-72.729419,CT,MIDDLEFIELD,4607
17576,Salmon River,at exit for Leesville fish ladder,River/Stream,41.516035,-72.482957,CT,EAST HADDAM,4700
16030,Amos Lake,at deepest point,Lake,41.5162,-71.9747,CT,PRESTON,3002
19717,Sucker Brook Trib,DS of Witter Rd,River/Stream,41.516438,-72.245112,CT,SALEM,3906
15706,Lake Beseck,at Mid lake adjacent to boat ramp,Lake,41.5168,-72.73,CT,MIDDLEFIELD,4607
17123,Trading Cove Brook,US of round brook confluence US of powerline,River/Stream,41.5169,-72.18,CT,BOZRAH,3001
